name,category,notes
"B01b_open_base_box","prototype","220x180x92,3mm walls,4mm floor. Six top-loaded M3 nut pockets5.8AFx2.7. Cable opening66x20mm. Anchor holes172x132."
"B02c_removable_structural_lid","prototype","6xM3x10 lid screws. Central cartridge clearance64.6, four3.4 holes on74PCD45degree phase; fourpinion-support holes32PCD at40,0."
"B03b_yaw_bearing_cartridge","prototype","Insert bearings from opposite ends then fit caps. Both seats42.20mm; fit coupon required. Flange mates underside of lid87..92. Pinion-hanger clearance notch."
"B04_bearing_outer_race_cap","prototype","Retains outer race only; bore35 clears34mm rotating inner-race collar."
"H01_61806_30x42x7","hardware reference","Purchased steel61806/6806. Envelope, no balls modelled."
"B05_yaw_gear_60T","prototype","M1.5,20deg,60 teeth; PD90;20T pinion60mm centre distance. Four through M3 bolts couple to spindle on22PCD."
"B06_hollow_yaw_spindle","prototype","29.85 journal for30mm bearings. Through cable14mm. Top flange starts101,1.5mm above fixed bearing cap; M3 bolts physically couple gear/shaft."
"H_AX_motor_case","motor reference","AX manufacturer nominal envelope; XM34mm body plus2.2horn protrusion."
"H_AX_motor_horn","motor reference","Reference tapped holes shown at nominal2mm; actual revision must match."
"M_AX_keyed_cradle","prototype","Motorcase clearance0.35 each side. Four long M3 throughbolts tie front to rear cap; body retained by front/back shoulders. Direct clamp requires fit coupon and thermal test."
"M_AX_rear_cap","prototype","Removable vented back cap. Same46x61mm mounting centres as front."
"M_AX_output_flange","prototype","AX:M2x6 gives2mm projection. XM:M2x8 with0.3mm washer gives1.5mm projection;2.2mm standoff clears fixed front plate. Outer4M3 on32PCD."
"H_XM_motor_case","motor reference","XM manufacturer nominal envelope; XM34mm body plus2.2horn protrusion."
"H_XM_motor_horn","motor reference","Reference tapped holes shown at nominal2mm; actual revision must match."
"M_XM_keyed_cradle","prototype","Motorcase clearance0.35 each side. Four long M3 throughbolts tie front to rear cap; body retained by front/back shoulders. Direct clamp requires fit coupon and thermal test."
"M_XM_rear_cap","prototype","Removable vented back cap. Same46x61mm mounting centres as front."
"M_XM_output_flange_b","prototype","AX:M2x6 gives2mm projection. XM:M2x8 with0.3mm washer gives1.5mm projection;2.2mm standoff clears fixed front plate. Outer4M3 on32PCD."
"B07b_supported_yaw_pinion_20T","prototype","M1.5 20T. M2x10 gives2mm horn projection through8mm hub.7.9mm upper journal supported in608 bearing; case-bearing alignment requires coupon. Axial retention provided by horn bolts."
"B11_pinion_bearing_hanger","prototype","608seat22.2mm; top face92mateslid. Four through M3 clamp hanger and lower bearing cap to lid; selected boltsM3x30 plusnuts."
"B12_pinion_bearing_cap","prototype","ID12 clears8mm rotating journal; retains outer race."
"H02_608_8x22x7","hardware reference","Purchased608 nominal8x22x7."
"B08_motor_floor_spacer","prototype","Four5.5mm motor mounting spacers, coaxial with floor holes."
"B09b_U2D2_service_tray","prototype","U2D2 cavity49x19:0.5mm clearance/side. Strap on matched26mm centres captures twoM3nuts;1mm pad gap above case."
"B10_U2D2_retaining_strap","prototype","Strap uses separate standoffs; foam pad thickness must match actual case. Leave ends open for USB and TTL."
"H_U2D2_48x18x14p9","electronics reference","Manufacturer48x18x14.9mm. Cable connector geometry represented by service clearance, not exact connector revision."
"A01_rotating_platform","prototype","Four M3 on54PCD match spindle flange. Two M3 pedestal bolt centres40x0."
"A02b_shoulder_pedestal","prototype","One-piece backplate, foot and gussets placed outside motor envelope. Two orthogonal M3 mounting holes."
"A03_output_spacer_4","prototype","Four per output flange; M3 throughbolts. Pin axes matched from one shared PCD definition."
"A04b_upper_link_100","prototype","4mm plate. Proximal4M3 on32PCD matches horn flange via4mm standoffs. Distal46x61motor mounting rectangle matches rear cap. Needs sandwich stiffener/strength validation."
"A05b_forearm_link_85","prototype","4mm plate. Proximal4M3 on32PCD matches horn flange via4mm standoffs. Distal46x61motor mounting rectangle matches rear cap. Needs sandwich stiffener/strength validation."
"A06b_wrist_right_angle_bracket","prototype","Integral right-angle bracket. Orthogonal46x61mount holes. Wall offset keeps floor screws accessible."
"A07b_wrist_rotor_platform","prototype","Rigid right-angle output carrier, four proximalM3 holes on32PCD. Orthogonal pod attachment pattern."
"A09_left_wrist_rotor_platform","prototype","Mirrored bracket places J6 roll axis parallel to J4 at neutral J5; avoids folding tool back along upper link."
"A08_tool_mount","prototype","Proximal32PCD flange and distal46x61motor cradle pattern."
"G01_fixed_gripper_guide_plate","prototype","Fixed via shared motor mount46x61pattern. Guide rails have0.4mm rack-side clearance, cover has0.4mm axial gap."
"G02_gripper_pinion_20T","prototype","M1.5,20teeth,PD30. M2x12 with1mm washer gives1.5mm AX horn projection. Gear phase9degrees at centred jaw position."
"G03_integral_rack_and_finger","prototype","Integral rack/finger eliminates unmatched screw interfaces. Stroke is limited in simulation;30mm nominal jaw opening. Finger-pad fit not specified."
"G04_guide_cover","prototype","3mm retaining frame,0.4mm nominal axial clearance. FourM3 screws on90x50.100mm long slot clears entire jaw travel."
