name,category,notes
"C01_clearance_and_M3_nut_coupon","fit coupon","Hole row left to right: 2.2,2.3,2.4,2.7,2.8,2.9,3.3,3.4. Nut AF row:5.6,5.7,5.8,5.9. Nut pocket depth2.7."
"P01_AX_horn_adapter","fit coupon","Four M2 clearance holes on16PCD. Verify screw engagement <=4mm and actual horn."
"P02_XM_horn_adapter","fit coupon","Eight M2 clearance holes on16PCD. Inspected horn depth2mm maximum; verify actual horn."
"P03_XM_side_mount_coupon","fit coupon","12x24mm local pattern. NOT centred on output axis. M2.5 max3mm engagement."
"P04_AX_body_mount_plate","development print","AX frame nut/bolt mounting; verify body revision and access. Output axis local0,0. Motor extends y=-11.5..38.5."
"P05_base_plate","development print","200x180x5. Anchor6.5dia,170x150pattern. 140PCD is modular plate pattern, NOT a selected turntable bearing pattern."
"P06_turntable_interface_ring_PROVISIONAL","development print","Bearing unselected. This is a modular interface plate, not a raceway. Do not print for fit until bearing chosen."
"P07_base_gear_60T_M2","development print","20degree involute, module2,60teeth; PD120; mesh80mm with20T. Backlash0.16 per gear at pitch. Root transition not strength-validated."
"P08_base_pinion_20T_M2","development print","PD40; separate shaft bearing support required; coupling/hub retention not released."
"P09_shoulder_gear_80T_M1p5","development print","4:1 with20T,75mm centres.8.2bore requires shaft/coupling design; not a friction-fit torque connection."
"P10_elbow_gear_40T_M1p5","development print","2:1 with20T,45mmcentres; hub/shaft retention pending."
"P11_XM_pinion_20T_M1p5","development print","PD30; independent pinion bearing support and screw access must be detailed."
"P12_shoulder_bearing_cheek","development print","Trial608seat22.2dia. Gear shaft/split bearing retention pending. Not a validated shoulder housing."
"P13_upper_link_cheek_120","development print","120mm exact pivot spacing. Requires two cheeks, four cross ties and skins. Drive flange fastening remains a release gate."
"P14_forearm_cheek_100","development print","100mm pivot spacing; trial wrist interface not fully resolved."
"P15_cross_tie_50","development print","M3 throughbolt and two end washers; no printed structural thread."
"P16_upper_box_skin","development print","Skin closure fastening must be detailed; current placement is development geometry."
"P17_forearm_box_skin","development print","Development closure panel."
"R03_608_bearing_REFERENCE","purchased reference; do not print","Purchased6088x22x7 envelope only; not selection/approval."
"R01_AX12A_body_REFERENCE","motor envelope; do not print","Exact nominal body envelope32x50x40; connectors/horn/case details omitted."
"R02_XM430_body_REFERENCE","motor envelope; do not print","Exact nominal body28.5x46.5x34; connector/horn offsets omitted."
"P18_AX_wrist_bridge","development print","Trial motor clearance0.4per side on width. Wrist assembly brackets and clearances pending."
"P19_gripper_base_plate","development print","Separate seventh AX motor. Two opposed racks plus guides. Motor fixed body bracket not yet released."
"P20_gripper_pinion_20T_M1p5","development print","Pitch radius15mm; nominal rack pitch lines30mm apart;0.16mm tooth backlash per gear."
"P21_gripper_rack","development print","M1.5 rack. Oppose second rack with180deg rotation. Guide clearance must be coupon-tuned."
"P22_gripper_guide_rail","development print","Trial rail; retained sliders need cover/spacer stack verification."
"P23_gripper_finger","development print","Rigid prototype jaw. Fastening to rack end needs revised match and pad selection before assembly."
